ID1,FS_1,ACES_1,DF_1,W1S_1,W2S_1,BP_1
7,0.5332134421815384,0.0709560440302638,0.04530623449670825,0.75198706731278,0.5466532377868097,4.53125
10,0.7113175293730227,0.03421488358931257,0.00762148337595908,0.7097006577998508,0.5079166666666667,4.8
12,0.5981924949160065,0.06423471536528468,0.0327805733341368,0.7323967871907159,0.5321502298994131,3.8181818181818183
18,0.5141414141414141,0.10530303030303029,0.11010101010101009,0.7355769230769231,0.5899784482758621,3.5
19,0.6361434841995398,0.11100225672944468,0.02123880051658874,0.811735178855503,0.6137498747340668,3.673992673992674
22,0.6238389615356081,0.09060574490974878,0.036001294908990004,0.7915949245074002,0.5793218380589559,3.519607843137255
47,0.6298364902056015,0.031325886352598344,0.04856726566294318,0.7964402618657938,0.5083333333333333,2.0
52,0.6387290365105356,0.10809884734349928,0.032751805512726336,0.7812383125393435,0.5352297008547009,3.75
68,0.6820207606217392,0.033844312625862426,0.04408076971182527,0.7194891245611078,0.5134942546323621,3.5
71,0.6520573277854832,0.208922792417938,0.036569579288025886,0.8055555555555555,0.546181417149159,1.3333333333333333
72,0.5993054313595836,0.023835998525081233,0.032029743430410755,0.727059469303911,0.5877839692533544,4.092592592592593
75,0.6218935750010394,0.06620094373449514,0.029893548180170988,0.754586917099777,0.5809783294968677,3.8642857142857143
78,0.5765161717959112,0.11808437160850126,0.02750158583841552,0.7858970108287059,0.5671037665235872,3.641025641025641
79,0.5726217258676992,0.05010651106788922,0.038533702611537844,0.8259275446775446,0.6022988505747127,3.6666666666666665
84,0.6164958424320831,0.06875305604305385,0.026748650240911078,0.7639918595644609,0.564217966606463,4.015384615384615
89,0.6719624773369333,0.1459815264623453,0.021941769480865455,0.7869536015851027,0.6058123658302695,2.9565217391304346
91,0.6575161420500404,0.08137610976594027,0.03585552865213882,0.7595284936717162,0.5530398523045582,4.75
254,0.6046511627906976,0.04651162790697674,0.0,0.6153846153846154,0.7058823529411765,6.0
276,0.6276595744680851,0.02127659574468085,0.0425531914893617,0.6610169491525424,0.5428571428571428,4.0
278,0.6487412712131813,0.04490369181380418,0.045027163847388564,0.7453811599196994,0.6205409356725146,4.333333333333333
286,0.574512987012987,0.058555194805194805,0.09215909090909091,0.7250887948231401,0.4893673577884104,5.75
401,0.7057301209942809,0.07357828079472109,0.031103754495831196,0.7315056152244899,0.5364481222780818,4.153846153846154
427,0.6360075764245003,0.07547290091212855,0.03555686133063273,0.7640781202015361,0.5635732084036778,4.048387096774194
430,0.5671641791044776,0.08955223880597014,0.07462686567164177,0.7368421052631579,0.6206896551724138,3.0
453,0.636791101312692,0.03985636938804929,0.0396539823235915,0.7267565975404934,0.5525827680497143,4.0285714285714285
468,0.5871090919083083,0.15082224784682954,0.0374567058877507,0.8034592680945483,0.5792700797283443,3.0
469,0.5667365536811265,0.05837458645935272,0.041430668073848036,0.761862724354908,0.5770034055087342,3.71875
488,0.5556559586630789,0.07898852359681713,0.03180512996545312,0.7769947165107114,0.5684290977221665,3.911764705882353
492,0.668188826961686,0.0331243826588385,0.015098396189497884,0.7051329943503487,0.5656670677169644,5.0
497,0.5111111111111111,0.04444444444444445,0.1,0.6956521739130435,0.5909090909090909,5.0
505,0.5888157894736843,0.1456766917293233,0.0662593984962406,0.8904761904761905,0.7338935574229692,3.0
515,0.6306113330529858,0.11650050228950566,0.009039750957854406,0.7171030679802609,0.5998236331569665,2.0
516,0.6018941211336906,0.06969995157239509,0.026368027942486463,0.741435611177472,0.6308537453444584,3.064516129032258
517,0.560538070962687,0.132625131007255,0.05985632447062894,0.8412267080745343,0.625,5.0
520,0.6527211863062437,0.06712028699727447,0.03971430077458098,0.731296437936882,0.5454553554311329,3.9565217391304346
531,0.5936019655093006,0.1648437195348859,0.03149825674618939,0.7836356590062283,0.6213788662318074,3.5714285714285716
532,0.6067596410272015,0.061509411029265944,0.05246032079233546,0.7631759030272647,0.5490319337535072,4.0
552,0.6361803707392462,0.14409387419516717,0.03521868688342124,0.8318880335771616,0.5911180431298905,3.0
553,0.5196713041381786,0.13438756492211806,0.03610765968370448,0.8156442706203296,0.5912722007774791,4.142857142857143
558,0.679609733195442,0.0433506333589124,0.023665802459721826,0.7248236397172294,0.5406464817415547,4.188034188034188
563,0.5598127120741698,0.07561629777584368,0.04066217412088856,0.7641068822199132,0.5667287078634287,3.7662337662337664
564,0.5862608476645547,0.05356186628554032,0.042852484712758494,0.7284710643647136,0.5571422980564906,3.962962962962963
568,0.7011478788187621,0.03424652636930915,0.03193942860588972,0.7073974162123546,0.5501813648289675,4.588235294117647
575,0.6198124244298274,0.076432030805134,0.03196820034217301,0.7610645324374482,0.5819148586488548,3.514018691588785
578,0.6208177302507266,0.12310740317861245,0.03604960663622499,0.8001215507292653,0.5630334931516648,3.2868217054263567
579,0.5837591392489199,0.16440781821203057,0.035741733133931544,0.8193953568953569,0.5803885630498533,3.25
587,0.6552442027378796,0.05086028466141259,0.02213757193257782,0.7572737462539741,0.5396016346418073,3.8947368421052633
603,0.5640219362553532,0.0357986801879469,0.04192622449742287,0.7988144468244561,0.5910821310168811,4.333333333333333
609,0.5971228145831948,0.10273856410988406,0.04456853329525077,0.7803953008105949,0.5486582665509738,3.348314606741573
612,0.6271708506833519,0.06589771667279802,0.02780398119166643,0.7558371650263133,0.6181978036405591,3.875
616,0.6057626049929279,0.04872098632512146,0.0433734360392513,0.7404119059612086,0.5604118693345442,4.260869565217392
617,0.6367016912010377,0.08573730862207896,0.0644966932646764,0.8153652765454008,0.5428450226244343,5.5
619,0.732872419278055,0.01056685915126242,0.019892349533454604,0.6776121740964445,0.5714647635408411,4.748251748251748
621,0.6604905013846535,0.02071682309120754,0.02256572165411319,0.6644151138716355,0.5968906455862978,4.666666666666667
628,0.521157064307913,0.14068850107578296,0.04936648338513029,0.8486073674752921,0.5737179487179487,3.0
631,0.7250291239515377,0.02148376825100963,0.019544113078595837,0.7050438596491228,0.770005980861244,4.75
638,0.7112119310693409,0.03418923931265002,0.03714188392041562,0.7111002963867911,0.5589490237142263,4.1688311688311686
641,0.5498745445982939,0.051944792620712874,0.05449907038792923,0.7469621317362882,0.5297656737264131,4.5
642,0.6218439066176459,0.04636325748499576,0.02928688354399933,0.7556747151873185,0.5863415836419349,3.5555555555555554
643,0.6511209504541691,0.046668013723872734,0.017847192706348266,0.714106793392198,0.5732393442490792,3.9574468085106385
647,0.6286687901027974,0.08727070489387906,0.018269693514795505,0.7686792071129654,0.6002511068626072,3.909090909090909
649,0.6348583428994965,0.05627352779782028,0.04891778955875215,0.7488381236056836,0.5291257684881162,4.173076923076923
650,0.6436367912737165,0.09738056655358403,0.034933759942423426,0.7639237015795951,0.5694555512252607,3.8777777777777778
651,0.5725746606019235,0.11129053880519081,0.03541484446238624,0.7956329309528397,0.5791106967893265,3.9285714285714284
655,0.6616682223724037,0.2652482756273658,0.03827553961040576,0.8648082549862655,0.5963570250512158,1.7445255474452555
661,0.6189807521789015,0.06610734679784804,0.03994405868219909,0.7471022486669904,0.5352288914788915,4.5
662,0.5498578295333456,0.09151677283756975,0.04459278512855468,0.7956644358400252,0.5496073828204019,3.7051282051282053
664,0.609051922305632,0.04725002713705542,0.019892744399949928,0.7451232959656786,0.5468020291075872,3.6875
665,0.5654490302417502,0.04921040536814046,0.04063333026932623,0.7587815783590433,0.6161967760372016,4.2
672,0.6695675968736069,0.07518972621444121,0.045605419393645964,0.7645954026457146,0.5681461085431176,3.7777777777777777
673,0.6328855535214956,0.04066322370609706,0.030757284669927158,0.7410627729252505,0.5779188883457342,4.5464684014869885
674,0.6254192971583236,0.0838850486539515,0.02568788312906944,0.7764711005190088,0.5914389563649048,3.9473684210526314
677,0.6931284555921194,0.04166098851483904,0.02100634885614134,0.7477961670805016,0.5852841896105978,4.427450980392157
678,0.6159531107150545,0.09733251128181383,0.022549585930284957,0.7812900726248125,0.5949662202258619,3.7
684,0.631844019772437,0.0564084027570403,0.0525107323256455,0.7481106582810274,0.5570701210841861,3.6923076923076925
685,0.6225075515611306,0.2019439157969581,0.03891902597043911,0.8505941751529602,0.5733421467193202,2.458064516129032
691,0.75,0.0,0.022727272727272728,0.7272727272727273,0.5454545454545454,5.0
